/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
exp51 [aircraft_lejepa_nplm-sup-ft] NPLM suite, dim=32, epochs=120, holdouts=[90, 91, 92, 93, 94, 95, 96, 97, 98, 99], lam=1.0, arms=['simclr', 'lejepa', 'simclr_sigreg', 'supcon', 'supcon_sigreg', 'nplm_bilinear', 'nplm_distance', 'nplm_sup_dist']
Fetching 37 files:   0%|          | 0/37 [00:00<?, ?it/s]Fetching 37 files: 100%|██████████| 37/37 [00:00<00:00, 143960.34it/s]
  loading ft trunk /home/pharris/sigreg/SuperSig/checkpoints/aircraft_ft_lejepa_nplm-sup-ft.pt
  extracted aircraft_lejepa_vitb16_nplm-sup-ft train: (6667, 768)
  extracted aircraft_lejepa_vitb16_nplm-sup-ft test: (3333, 768)
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 1/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 2/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 3/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 4/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 5/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 6/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 7/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 8/8
  train pool 6667 (seen bank 6000), test pool 3333 (333 holdout)

----- simclr (augmentations only) -----
  [softmax/cosine] epoch 57/120  interaction=5.1864  marginal=0.0368
  [softmax/cosine] epoch 58/120  interaction=5.1847  marginal=0.0378
  [softmax/cosine] epoch 59/120  interaction=5.1819  marginal=0.0350
  [softmax/cosine] epoch 60/120  interaction=5.1836  marginal=0.0364
  [softmax/cosine] epoch 61/120  interaction=5.1815  marginal=0.0348
  [softmax/cosine] epoch 62/120  interaction=5.1820  marginal=0.0344
  [softmax/cosine] epoch 63/120  interaction=5.1786  marginal=0.0328
  [softmax/cosine] epoch 64/120  interaction=5.1779  marginal=0.0339
  [softmax/cosine] epoch 65/120  interaction=5.1764  marginal=0.0325
  [softmax/cosine] epoch 66/120  interaction=5.1757  marginal=0.0326
  [softmax/cosine] epoch 67/120  interaction=5.1756  marginal=0.0321
  [softmax/cosine] epoch 68/120  interaction=5.1737  marginal=0.0326
  [softmax/cosine] epoch 69/120  interaction=5.1694  marginal=0.0318
  [softmax/cosine] epoch 70/120  interaction=5.1733  marginal=0.0317
  [softmax/cosine] epoch 71/120  interaction=5.1714  marginal=0.0307
  [softmax/cosine] epoch 72/120  interaction=5.1717  marginal=0.0338
  [softmax/cosine] epoch 73/120  interaction=5.1707  marginal=0.0313
  [softmax/cosine] epoch 74/120  interaction=5.1692  marginal=0.0324
  [softmax/cosine] epoch 75/120  interaction=5.1676  marginal=0.0307
  [softmax/cosine] epoch 76/120  interaction=5.1662  marginal=0.0299
  [softmax/cosine] epoch 77/120  interaction=5.1661  marginal=0.0303
